"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}"
2025-11-16 14:09:45,1.04 Mb/s,774 kb/s,886 kb/s,994 kb/s,1.02 Mb/s,917 kb/s,806 kb/s,883 kb/s,886 kb/s,881 kb/s,960 kb/s,760 kb/s,797 kb/s,959 kb/s,921 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:10:00,1.02 Mb/s,796 kb/s,885 kb/s,1.00 Mb/s,1.02 Mb/s,913 kb/s,834 kb/s,887 kb/s,870 kb/s,896 kb/s,982 kb/s,770 kb/s,803 kb/s,977 kb/s,926 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:10:15,1.05 Mb/s,794 kb/s,896 kb/s,1.01 Mb/s,1.04 Mb/s,912 kb/s,835 kb/s,875 kb/s,893 kb/s,908 kb/s,991 kb/s,766 kb/s,816 kb/s,966 kb/s,924 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:10:30,1.05 Mb/s,798 kb/s,886 kb/s,1.01 Mb/s,1.02 Mb/s,935 kb/s,841 kb/s,885 kb/s,892 kb/s,905 kb/s,990 kb/s,783 kb/s,806 kb/s,992 kb/s,935 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:10:45,1.06 Mb/s,777 kb/s,902 kb/s,1.00 Mb/s,1.05 Mb/s,942 kb/s,817 kb/s,876 kb/s,904 kb/s,905 kb/s,978 kb/s,780 kb/s,830 kb/s,990 kb/s,928 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:11:00,1.06 Mb/s,793 kb/s,897 kb/s,1.02 Mb/s,1.04 Mb/s,936 kb/s,835 kb/s,878 kb/s,889 kb/s,914 kb/s,1.00 Mb/s,788 kb/s,826 kb/s,1.00 Mb/s,925 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:11:15,1.09 Mb/s,791 kb/s,896 kb/s,1.02 Mb/s,1.06 Mb/s,930 kb/s,917 kb/s,871 kb/s,905 kb/s,926 kb/s,1.01 Mb/s,771 kb/s,834 kb/s,981 kb/s,926 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:11:30,1.09 Mb/s,800 kb/s,878 kb/s,1.01 Mb/s,1.04 Mb/s,948 kb/s,926 kb/s,888 kb/s,897 kb/s,924 kb/s,1.01 Mb/s,790 kb/s,824 kb/s,1.00 Mb/s,942 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:11:45,1.10 Mb/s,781 kb/s,891 kb/s,1.01 Mb/s,1.06 Mb/s,952 kb/s,913 kb/s,880 kb/s,904 kb/s,919 kb/s,1.00 Mb/s,791 kb/s,847 kb/s,992 kb/s,941 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:12:00,1.09 Mb/s,801 kb/s,884 kb/s,1.02 Mb/s,1.06 Mb/s,957 kb/s,933 kb/s,880 kb/s,884 kb/s,930 kb/s,1.02 Mb/s,795 kb/s,845 kb/s,1.00 Mb/s,944 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:12:15,1.12 Mb/s,802 kb/s,886 kb/s,1.03 Mb/s,1.07 Mb/s,953 kb/s,931 kb/s,865 kb/s,906 kb/s,941 kb/s,1.03 Mb/s,774 kb/s,852 kb/s,976 kb/s,935 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:12:30,1.11 Mb/s,806 kb/s,871 kb/s,1.02 Mb/s,1.05 Mb/s,975 kb/s,939 kb/s,878 kb/s,903 kb/s,938 kb/s,1.02 Mb/s,792 kb/s,838 kb/s,992 kb/s,951 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:12:45,1.12 Mb/s,786 kb/s,884 kb/s,1.02 Mb/s,1.07 Mb/s,977 kb/s,918 kb/s,873 kb/s,912 kb/s,940 kb/s,1.02 Mb/s,796 kb/s,858 kb/s,986 kb/s,950 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:13:00,1.12 Mb/s,804 kb/s,885 kb/s,1.03 Mb/s,1.07 Mb/s,972 kb/s,939 kb/s,874 kb/s,901 kb/s,952 kb/s,1.04 Mb/s,804 kb/s,857 kb/s,992 kb/s,953 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:13:15,1.14 Mb/s,800 kb/s,888 kb/s,1.04 Mb/s,1.08 Mb/s,965 kb/s,935 kb/s,857 kb/s,918 kb/s,960 kb/s,1.04 Mb/s,792 kb/s,858 kb/s,975 kb/s,954 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:13:30,1.14 Mb/s,803 kb/s,877 kb/s,1.03 Mb/s,1.05 Mb/s,988 kb/s,942 kb/s,871 kb/s,913 kb/s,951 kb/s,1.04 Mb/s,809 kb/s,842 kb/s,994 kb/s,968 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:13:45,1.15 Mb/s,787 kb/s,892 kb/s,1.02 Mb/s,1.06 Mb/s,990 kb/s,920 kb/s,862 kb/s,918 kb/s,947 kb/s,1.03 Mb/s,808 kb/s,860 kb/s,986 kb/s,963 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:14:00,1.13 Mb/s,800 kb/s,885 kb/s,1.03 Mb/s,1.06 Mb/s,986 kb/s,941 kb/s,860 kb/s,912 kb/s,948 kb/s,1.05 Mb/s,810 kb/s,864 kb/s,996 kb/s,960 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:14:15,1.15 Mb/s,798 kb/s,891 kb/s,1.03 Mb/s,1.07 Mb/s,979 kb/s,936 kb/s,847 kb/s,930 kb/s,953 kb/s,1.05 Mb/s,791 kb/s,867 kb/s,973 kb/s,957 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:14:30,1.15 Mb/s,797 kb/s,875 kb/s,1.01 Mb/s,1.04 Mb/s,995 kb/s,939 kb/s,863 kb/s,928 kb/s,946 kb/s,1.04 Mb/s,801 kb/s,846 kb/s,992 kb/s,968 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:14:45,1.16 Mb/s,779 kb/s,889 kb/s,1.00 Mb/s,1.06 Mb/s,997 kb/s,915 kb/s,856 kb/s,933 kb/s,940 kb/s,1.03 Mb/s,801 kb/s,862 kb/s,982 kb/s,960 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:15:00,1.13 Mb/s,798 kb/s,881 kb/s,1.01 Mb/s,1.06 Mb/s,991 kb/s,936 kb/s,860 kb/s,913 kb/s,947 kb/s,1.05 Mb/s,806 kb/s,857 kb/s,986 kb/s,963 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:15:15,1.15 Mb/s,793 kb/s,889 kb/s,1.01 Mb/s,1.07 Mb/s,977 kb/s,930 kb/s,852 kb/s,927 kb/s,955 kb/s,1.05 Mb/s,789 kb/s,863 kb/s,966 kb/s,961 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:15:30,1.14 Mb/s,800 kb/s,876 kb/s,997 kb/s,1.05 Mb/s,988 kb/s,934 kb/s,864 kb/s,920 kb/s,942 kb/s,1.04 Mb/s,806 kb/s,848 kb/s,986 kb/s,970 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:15:45,1.15 Mb/s,785 kb/s,893 kb/s,992 kb/s,1.07 Mb/s,990 kb/s,914 kb/s,860 kb/s,928 kb/s,936 kb/s,1.03 Mb/s,805 kb/s,865 kb/s,981 kb/s,964 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:16:00,1.12 Mb/s,806 kb/s,892 kb/s,997 kb/s,1.06 Mb/s,981 kb/s,853 kb/s,861 kb/s,912 kb/s,935 kb/s,1.05 Mb/s,812 kb/s,863 kb/s,990 kb/s,964 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:16:15,1.14 Mb/s,802 kb/s,895 kb/s,1.01 Mb/s,1.07 Mb/s,974 kb/s,844 kb/s,858 kb/s,928 kb/s,940 kb/s,1.05 Mb/s,796 kb/s,864 kb/s,970 kb/s,962 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:16:30,1.14 Mb/s,807 kb/s,879 kb/s,999 kb/s,1.05 Mb/s,994 kb/s,848 kb/s,872 kb/s,923 kb/s,932 kb/s,1.04 Mb/s,814 kb/s,844 kb/s,985 kb/s,972 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:16:45,1.14 Mb/s,786 kb/s,888 kb/s,1.00 Mb/s,1.07 Mb/s,990 kb/s,829 kb/s,868 kb/s,934 kb/s,925 kb/s,1.03 Mb/s,812 kb/s,866 kb/s,976 kb/s,968 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:17:00,1.12 Mb/s,798 kb/s,882 kb/s,1.01 Mb/s,1.06 Mb/s,980 kb/s,846 kb/s,873 kb/s,918 kb/s,931 kb/s,1.05 Mb/s,819 kb/s,864 kb/s,982 kb/s,972 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:17:15,1.15 Mb/s,797 kb/s,885 kb/s,1.02 Mb/s,1.07 Mb/s,971 kb/s,842 kb/s,865 kb/s,936 kb/s,938 kb/s,1.06 Mb/s,803 kb/s,867 kb/s,962 kb/s,966 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:17:30,1.14 Mb/s,802 kb/s,874 kb/s,1.02 Mb/s,1.04 Mb/s,992 kb/s,848 kb/s,879 kb/s,936 kb/s,924 kb/s,1.05 Mb/s,818 kb/s,852 kb/s,980 kb/s,979 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:17:45,1.15 Mb/s,785 kb/s,890 kb/s,1.01 Mb/s,1.07 Mb/s,1.00 Mb/s,918 kb/s,875 kb/s,944 kb/s,920 kb/s,1.04 Mb/s,822 kb/s,866 kb/s,973 kb/s,973 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:18:00,1.11 Mb/s,804 kb/s,881 kb/s,1.01 Mb/s,1.06 Mb/s,994 kb/s,935 kb/s,876 kb/s,923 kb/s,927 kb/s,1.06 Mb/s,826 kb/s,864 kb/s,984 kb/s,975 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:18:15,1.14 Mb/s,806 kb/s,888 kb/s,1.02 Mb/s,1.07 Mb/s,986 kb/s,928 kb/s,860 kb/s,940 kb/s,933 kb/s,1.06 Mb/s,806 kb/s,864 kb/s,965 kb/s,973 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:18:30,1.13 Mb/s,810 kb/s,876 kb/s,1.00 Mb/s,1.06 Mb/s,1.01 Mb/s,932 kb/s,880 kb/s,942 kb/s,930 kb/s,1.04 Mb/s,820 kb/s,845 kb/s,982 kb/s,992 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:18:45,1.14 Mb/s,791 kb/s,890 kb/s,989 kb/s,1.07 Mb/s,1.02 Mb/s,908 kb/s,874 kb/s,941 kb/s,929 kb/s,1.03 Mb/s,816 kb/s,850 kb/s,976 kb/s,990 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:19:00,1.11 Mb/s,803 kb/s,886 kb/s,986 kb/s,1.06 Mb/s,1.01 Mb/s,922 kb/s,877 kb/s,920 kb/s,935 kb/s,1.05 Mb/s,821 kb/s,843 kb/s,993 kb/s,989 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:19:04,,,,,,,,,,,,,,,,919 kb/s,802 kb/s,1.06 Mb/s,843 kb/s,886 kb/s,1.01 Mb/s,821 kb/s,993 kb/s,877 kb/s,989 kb/s,935 kb/s,986 kb/s,1.05 Mb/s,933 kb/s,1.13 Mb/s
