"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}"
2025-11-16 14:29:00,1.06 Mb/s,923 kb/s,949 kb/s,880 kb/s,696 kb/s,921 kb/s,977 kb/s,957 kb/s,872 kb/s,849 kb/s,871 kb/s,929 kb/s,788 kb/s,718 kb/s,884 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:29:15,1.11 Mb/s,934 kb/s,967 kb/s,894 kb/s,708 kb/s,934 kb/s,1.01 Mb/s,980 kb/s,880 kb/s,862 kb/s,894 kb/s,953 kb/s,806 kb/s,735 kb/s,893 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:29:30,1.12 Mb/s,942 kb/s,997 kb/s,918 kb/s,708 kb/s,954 kb/s,1.02 Mb/s,975 kb/s,889 kb/s,862 kb/s,897 kb/s,967 kb/s,835 kb/s,755 kb/s,894 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:29:45,1.12 Mb/s,948 kb/s,1.00 Mb/s,918 kb/s,721 kb/s,958 kb/s,1.01 Mb/s,990 kb/s,883 kb/s,856 kb/s,906 kb/s,967 kb/s,848 kb/s,763 kb/s,884 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:30:00,1.10 Mb/s,956 kb/s,1.01 Mb/s,936 kb/s,717 kb/s,950 kb/s,1.00 Mb/s,976 kb/s,879 kb/s,862 kb/s,895 kb/s,964 kb/s,862 kb/s,761 kb/s,901 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:30:15,1.12 Mb/s,947 kb/s,1.00 Mb/s,919 kb/s,718 kb/s,942 kb/s,1.02 Mb/s,990 kb/s,885 kb/s,868 kb/s,912 kb/s,987 kb/s,857 kb/s,746 kb/s,903 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:30:30,1.12 Mb/s,948 kb/s,1.02 Mb/s,933 kb/s,710 kb/s,951 kb/s,1.11 Mb/s,977 kb/s,891 kb/s,856 kb/s,910 kb/s,1.00 Mb/s,883 kb/s,758 kb/s,897 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:30:45,1.12 Mb/s,953 kb/s,1.02 Mb/s,932 kb/s,719 kb/s,963 kb/s,1.09 Mb/s,986 kb/s,880 kb/s,848 kb/s,915 kb/s,1000 kb/s,885 kb/s,761 kb/s,895 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:31:00,1.10 Mb/s,966 kb/s,1.03 Mb/s,944 kb/s,717 kb/s,953 kb/s,1.08 Mb/s,976 kb/s,874 kb/s,853 kb/s,896 kb/s,998 kb/s,893 kb/s,759 kb/s,910 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:31:15,1.13 Mb/s,957 kb/s,1.01 Mb/s,922 kb/s,721 kb/s,947 kb/s,1.09 Mb/s,990 kb/s,872 kb/s,858 kb/s,914 kb/s,1.02 Mb/s,873 kb/s,752 kb/s,914 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:31:30,1.12 Mb/s,956 kb/s,1.02 Mb/s,939 kb/s,712 kb/s,952 kb/s,1.09 Mb/s,971 kb/s,874 kb/s,848 kb/s,910 kb/s,1.02 Mb/s,894 kb/s,766 kb/s,910 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:31:45,1.12 Mb/s,961 kb/s,1.02 Mb/s,932 kb/s,723 kb/s,956 kb/s,1.07 Mb/s,984 kb/s,863 kb/s,838 kb/s,914 kb/s,1.00 Mb/s,887 kb/s,766 kb/s,904 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:32:00,1.12 Mb/s,972 kb/s,1.03 Mb/s,954 kb/s,725 kb/s,951 kb/s,1.07 Mb/s,992 kb/s,860 kb/s,847 kb/s,906 kb/s,998 kb/s,895 kb/s,765 kb/s,935 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:32:15,1.14 Mb/s,963 kb/s,1.02 Mb/s,929 kb/s,724 kb/s,942 kb/s,1.09 Mb/s,994 kb/s,864 kb/s,850 kb/s,926 kb/s,1.01 Mb/s,869 kb/s,764 kb/s,940 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:32:30,1.14 Mb/s,959 kb/s,1.04 Mb/s,945 kb/s,719 kb/s,949 kb/s,1.09 Mb/s,974 kb/s,867 kb/s,837 kb/s,919 kb/s,1.01 Mb/s,890 kb/s,771 kb/s,931 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:32:45,1.13 Mb/s,974 kb/s,1.04 Mb/s,933 kb/s,734 kb/s,961 kb/s,1.09 Mb/s,1.00 Mb/s,865 kb/s,833 kb/s,922 kb/s,1.03 Mb/s,884 kb/s,766 kb/s,927 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:33:00,1.12 Mb/s,980 kb/s,1.05 Mb/s,949 kb/s,734 kb/s,959 kb/s,1.07 Mb/s,987 kb/s,860 kb/s,839 kb/s,906 kb/s,1.02 Mb/s,886 kb/s,767 kb/s,939 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:33:15,1.13 Mb/s,969 kb/s,1.04 Mb/s,924 kb/s,729 kb/s,956 kb/s,1.09 Mb/s,989 kb/s,865 kb/s,844 kb/s,923 kb/s,1.03 Mb/s,862 kb/s,752 kb/s,942 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:33:30,1.14 Mb/s,965 kb/s,1.06 Mb/s,939 kb/s,725 kb/s,968 kb/s,1.09 Mb/s,975 kb/s,869 kb/s,836 kb/s,924 kb/s,1.03 Mb/s,879 kb/s,764 kb/s,931 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:33:45,1.13 Mb/s,966 kb/s,1.05 Mb/s,933 kb/s,736 kb/s,973 kb/s,1.07 Mb/s,990 kb/s,859 kb/s,827 kb/s,928 kb/s,1.02 Mb/s,868 kb/s,767 kb/s,919 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:34:00,1.11 Mb/s,974 kb/s,1.05 Mb/s,937 kb/s,732 kb/s,961 kb/s,1.06 Mb/s,975 kb/s,855 kb/s,833 kb/s,912 kb/s,1.01 Mb/s,867 kb/s,762 kb/s,929 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:34:15,1.13 Mb/s,963 kb/s,1.03 Mb/s,917 kb/s,739 kb/s,968 kb/s,1.09 Mb/s,1.00 Mb/s,868 kb/s,839 kb/s,928 kb/s,1.04 Mb/s,859 kb/s,751 kb/s,929 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:34:30,1.15 Mb/s,969 kb/s,1.07 Mb/s,943 kb/s,731 kb/s,977 kb/s,1.09 Mb/s,991 kb/s,874 kb/s,851 kb/s,928 kb/s,1.04 Mb/s,874 kb/s,788 kb/s,941 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:34:45,1.15 Mb/s,972 kb/s,1.06 Mb/s,932 kb/s,743 kb/s,979 kb/s,1.08 Mb/s,1.00 Mb/s,865 kb/s,845 kb/s,926 kb/s,1.03 Mb/s,873 kb/s,788 kb/s,930 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:35:00,1.13 Mb/s,978 kb/s,1.06 Mb/s,936 kb/s,741 kb/s,970 kb/s,1.07 Mb/s,991 kb/s,860 kb/s,849 kb/s,909 kb/s,1.02 Mb/s,873 kb/s,783 kb/s,939 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:35:15,1.15 Mb/s,969 kb/s,1.05 Mb/s,918 kb/s,739 kb/s,961 kb/s,1.01 Mb/s,1.00 Mb/s,861 kb/s,856 kb/s,926 kb/s,1.03 Mb/s,852 kb/s,770 kb/s,940 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:35:30,1.15 Mb/s,965 kb/s,1.07 Mb/s,933 kb/s,732 kb/s,967 kb/s,1.01 Mb/s,985 kb/s,864 kb/s,846 kb/s,920 kb/s,1.03 Mb/s,869 kb/s,781 kb/s,931 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:35:45,1.14 Mb/s,959 kb/s,1.06 Mb/s,919 kb/s,741 kb/s,973 kb/s,994 kb/s,999 kb/s,854 kb/s,838 kb/s,924 kb/s,1.02 Mb/s,866 kb/s,781 kb/s,921 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:36:00,1.15 Mb/s,972 kb/s,1.06 Mb/s,941 kb/s,742 kb/s,971 kb/s,1.01 Mb/s,1.01 Mb/s,860 kb/s,852 kb/s,923 kb/s,1.03 Mb/s,900 kb/s,773 kb/s,942 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:36:15,1.17 Mb/s,965 kb/s,1.05 Mb/s,924 kb/s,740 kb/s,966 kb/s,1.03 Mb/s,1.02 Mb/s,867 kb/s,856 kb/s,939 kb/s,1.05 Mb/s,880 kb/s,773 kb/s,943 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:36:30,1.17 Mb/s,959 kb/s,1.07 Mb/s,943 kb/s,734 kb/s,973 kb/s,1.03 Mb/s,1.00 Mb/s,870 kb/s,853 kb/s,936 kb/s,1.05 Mb/s,898 kb/s,784 kb/s,935 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:36:45,1.15 Mb/s,978 kb/s,1.07 Mb/s,918 kb/s,742 kb/s,980 kb/s,1.03 Mb/s,1.01 Mb/s,870 kb/s,848 kb/s,935 kb/s,1.04 Mb/s,898 kb/s,783 kb/s,916 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:37:00,1.13 Mb/s,986 kb/s,1.07 Mb/s,938 kb/s,743 kb/s,972 kb/s,1.10 Mb/s,1.01 Mb/s,867 kb/s,858 kb/s,927 kb/s,1.04 Mb/s,901 kb/s,783 kb/s,933 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:37:15,1.16 Mb/s,978 kb/s,1.05 Mb/s,919 kb/s,741 kb/s,966 kb/s,1.11 Mb/s,1.01 Mb/s,870 kb/s,861 kb/s,945 kb/s,1.05 Mb/s,878 kb/s,773 kb/s,934 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:37:30,1.16 Mb/s,963 kb/s,1.07 Mb/s,935 kb/s,729 kb/s,960 kb/s,1.10 Mb/s,983 kb/s,865 kb/s,849 kb/s,942 kb/s,1.02 Mb/s,892 kb/s,786 kb/s,917 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:37:45,1.15 Mb/s,968 kb/s,1.05 Mb/s,921 kb/s,734 kb/s,959 kb/s,1.10 Mb/s,1.01 Mb/s,857 kb/s,844 kb/s,946 kb/s,1.02 Mb/s,892 kb/s,786 kb/s,908 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:38:00,1.13 Mb/s,981 kb/s,1.05 Mb/s,925 kb/s,733 kb/s,949 kb/s,1.09 Mb/s,1.00 Mb/s,853 kb/s,849 kb/s,931 kb/s,1.00 Mb/s,896 kb/s,785 kb/s,922 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:38:15,1.15 Mb/s,978 kb/s,1.03 Mb/s,909 kb/s,734 kb/s,938 kb/s,1.13 Mb/s,1.02 Mb/s,868 kb/s,857 kb/s,952 kb/s,1.04 Mb/s,882 kb/s,774 kb/s,929 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:38:25,,,,,,,,,,,,,,,,868 kb/s,1.04 Mb/s,1.13 Mb/s,804 kb/s,1.07 Mb/s,945 kb/s,1.15 Mb/s,986 kb/s,858 kb/s,945 kb/s,993 kb/s,1.01 Mb/s,734 kb/s,938 kb/s,882 kb/s
