"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}"
2025-11-16 13:49:15,1.01 Mb/s,991 kb/s,831 kb/s,923 kb/s,1.03 Mb/s,1.03 Mb/s,844 kb/s,785 kb/s,958 kb/s,945 kb/s,986 kb/s,897 kb/s,781 kb/s,883 kb/s,1.02 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:49:30,1.03 Mb/s,993 kb/s,838 kb/s,922 kb/s,1.05 Mb/s,1.05 Mb/s,835 kb/s,778 kb/s,952 kb/s,971 kb/s,981 kb/s,909 kb/s,789 kb/s,910 kb/s,1.02 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:49:45,1.03 Mb/s,1.01 Mb/s,832 kb/s,945 kb/s,1.04 Mb/s,1.04 Mb/s,848 kb/s,807 kb/s,970 kb/s,970 kb/s,991 kb/s,910 kb/s,785 kb/s,911 kb/s,1.02 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:50:00,1.02 Mb/s,1.01 Mb/s,829 kb/s,948 kb/s,1.03 Mb/s,1.08 Mb/s,855 kb/s,804 kb/s,966 kb/s,985 kb/s,974 kb/s,917 kb/s,779 kb/s,936 kb/s,1.01 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:50:15,1.03 Mb/s,1.02 Mb/s,844 kb/s,951 kb/s,1.05 Mb/s,1.07 Mb/s,848 kb/s,818 kb/s,977 kb/s,994 kb/s,994 kb/s,929 kb/s,793 kb/s,938 kb/s,1.03 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:50:30,1.04 Mb/s,1.02 Mb/s,848 kb/s,935 kb/s,1.06 Mb/s,1.10 Mb/s,843 kb/s,804 kb/s,952 kb/s,1.01 Mb/s,985 kb/s,936 kb/s,801 kb/s,959 kb/s,1.02 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:50:45,1.04 Mb/s,1.03 Mb/s,842 kb/s,954 kb/s,1.04 Mb/s,1.08 Mb/s,940 kb/s,822 kb/s,973 kb/s,1.00 Mb/s,1.01 Mb/s,934 kb/s,800 kb/s,942 kb/s,1.03 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:51:00,1.05 Mb/s,1.02 Mb/s,837 kb/s,951 kb/s,1.03 Mb/s,1.12 Mb/s,942 kb/s,828 kb/s,966 kb/s,1.01 Mb/s,994 kb/s,928 kb/s,795 kb/s,967 kb/s,1.02 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:51:15,1.08 Mb/s,1.04 Mb/s,957 kb/s,945 kb/s,1.14 Mb/s,1.11 Mb/s,932 kb/s,839 kb/s,965 kb/s,1.12 Mb/s,1.24 Mb/s,1.04 Mb/s,918 kb/s,960 kb/s,1.04 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:51:30,1.20 Mb/s,1.13 Mb/s,1.11 Mb/s,1.17 Mb/s,1.29 Mb/s,1.32 Mb/s,1.16 Mb/s,1.25 Mb/s,1.18 Mb/s,1.27 Mb/s,1.40 Mb/s,1.19 Mb/s,1.09 Mb/s,1.15 Mb/s,1.14 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:51:45,1.36 Mb/s,1.42 Mb/s,1.41 Mb/s,1.34 Mb/s,1.43 Mb/s,1.52 Mb/s,1.32 Mb/s,1.41 Mb/s,1.35 Mb/s,1.44 Mb/s,1.58 Mb/s,1.32 Mb/s,1.23 Mb/s,1.41 Mb/s,1.35 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:52:00,1.64 Mb/s,1.55 Mb/s,1.85 Mb/s,1.48 Mb/s,1.69 Mb/s,1.70 Mb/s,1.46 Mb/s,1.56 Mb/s,1.49 Mb/s,1.72 Mb/s,1.87 Mb/s,1.61 Mb/s,1.50 Mb/s,1.58 Mb/s,1.57 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:52:15,1.81 Mb/s,1.70 Mb/s,2.00 Mb/s,1.62 Mb/s,1.85 Mb/s,1.85 Mb/s,1.59 Mb/s,1.86 Mb/s,1.63 Mb/s,1.87 Mb/s,2.04 Mb/s,1.76 Mb/s,1.66 Mb/s,1.72 Mb/s,1.75 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:52:30,1.97 Mb/s,1.82 Mb/s,2.13 Mb/s,1.87 Mb/s,1.98 Mb/s,2.30 Mb/s,1.83 Mb/s,2.10 Mb/s,1.87 Mb/s,2.15 Mb/s,2.16 Mb/s,1.88 Mb/s,1.79 Mb/s,1.88 Mb/s,1.89 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:52:45,2.09 Mb/s,2.12 Mb/s,2.29 Mb/s,2.05 Mb/s,2.15 Mb/s,2.45 Mb/s,2.00 Mb/s,2.27 Mb/s,2.04 Mb/s,2.49 Mb/s,2.50 Mb/s,2.03 Mb/s,1.94 Mb/s,2.14 Mb/s,2.19 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:53:00,2.38 Mb/s,2.26 Mb/s,2.55 Mb/s,2.19 Mb/s,2.41 Mb/s,2.61 Mb/s,2.13 Mb/s,2.41 Mb/s,2.17 Mb/s,2.76 Mb/s,2.65 Mb/s,2.30 Mb/s,2.21 Mb/s,2.46 Mb/s,2.30 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:53:15,2.56 Mb/s,2.44 Mb/s,2.69 Mb/s,2.32 Mb/s,2.55 Mb/s,2.76 Mb/s,2.27 Mb/s,2.74 Mb/s,2.34 Mb/s,2.87 Mb/s,2.88 Mb/s,2.44 Mb/s,2.35 Mb/s,2.62 Mb/s,2.48 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:53:30,2.71 Mb/s,2.57 Mb/s,2.85 Mb/s,2.61 Mb/s,2.72 Mb/s,3.06 Mb/s,2.62 Mb/s,3.00 Mb/s,2.62 Mb/s,3.05 Mb/s,3.03 Mb/s,2.59 Mb/s,2.51 Mb/s,2.75 Mb/s,2.59 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:53:45,3.06 Mb/s,3.01 Mb/s,2.98 Mb/s,2.76 Mb/s,2.84 Mb/s,3.19 Mb/s,2.76 Mb/s,3.15 Mb/s,2.76 Mb/s,3.19 Mb/s,3.18 Mb/s,2.71 Mb/s,2.64 Mb/s,3.04 Mb/s,2.89 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:54:00,3.35 Mb/s,3.16 Mb/s,3.25 Mb/s,2.89 Mb/s,3.14 Mb/s,3.35 Mb/s,2.90 Mb/s,3.28 Mb/s,2.90 Mb/s,3.48 Mb/s,3.46 Mb/s,3.14 Mb/s,2.91 Mb/s,3.19 Mb/s,3.03 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:54:15,3.70 Mb/s,3.33 Mb/s,3.40 Mb/s,3.03 Mb/s,3.30 Mb/s,3.50 Mb/s,3.04 Mb/s,3.44 Mb/s,3.06 Mb/s,3.62 Mb/s,3.62 Mb/s,3.45 Mb/s,3.07 Mb/s,3.32 Mb/s,3.19 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:54:30,3.87 Mb/s,3.48 Mb/s,3.54 Mb/s,3.29 Mb/s,3.43 Mb/s,3.73 Mb/s,3.30 Mb/s,3.70 Mb/s,3.33 Mb/s,3.78 Mb/s,3.94 Mb/s,3.60 Mb/s,3.23 Mb/s,3.61 Mb/s,3.35 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:54:45,4.01 Mb/s,3.75 Mb/s,3.67 Mb/s,3.45 Mb/s,3.57 Mb/s,4.09 Mb/s,3.45 Mb/s,3.85 Mb/s,3.48 Mb/s,3.92 Mb/s,4.22 Mb/s,3.73 Mb/s,3.36 Mb/s,3.76 Mb/s,3.64 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:55:00,4.43 Mb/s,3.87 Mb/s,3.95 Mb/s,3.56 Mb/s,3.86 Mb/s,4.24 Mb/s,3.57 Mb/s,3.97 Mb/s,3.59 Mb/s,4.39 Mb/s,4.39 Mb/s,3.99 Mb/s,3.63 Mb/s,3.89 Mb/s,3.74 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:55:15,4.61 Mb/s,4.06 Mb/s,4.08 Mb/s,3.73 Mb/s,3.99 Mb/s,4.42 Mb/s,3.72 Mb/s,4.14 Mb/s,3.77 Mb/s,4.54 Mb/s,4.53 Mb/s,4.13 Mb/s,3.77 Mb/s,4.04 Mb/s,3.95 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:55:30,4.75 Mb/s,4.16 Mb/s,4.20 Mb/s,4.10 Mb/s,4.13 Mb/s,4.75 Mb/s,3.86 Mb/s,4.37 Mb/s,3.99 Mb/s,4.68 Mb/s,4.63 Mb/s,4.26 Mb/s,3.90 Mb/s,4.19 Mb/s,4.08 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:55:45,4.87 Mb/s,4.42 Mb/s,4.34 Mb/s,4.41 Mb/s,4.25 Mb/s,4.94 Mb/s,4.00 Mb/s,4.52 Mb/s,4.15 Mb/s,4.83 Mb/s,4.77 Mb/s,4.39 Mb/s,4.04 Mb/s,4.46 Mb/s,4.37 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:56:00,5.17 Mb/s,4.55 Mb/s,4.68 Mb/s,4.57 Mb/s,4.44 Mb/s,5.12 Mb/s,4.15 Mb/s,4.67 Mb/s,4.30 Mb/s,5.03 Mb/s,4.86 Mb/s,4.55 Mb/s,4.23 Mb/s,4.65 Mb/s,4.51 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:56:15,5.23 Mb/s,4.59 Mb/s,4.69 Mb/s,4.46 Mb/s,4.46 Mb/s,5.05 Mb/s,4.03 Mb/s,4.38 Mb/s,4.36 Mb/s,5.03 Mb/s,4.87 Mb/s,4.56 Mb/s,4.21 Mb/s,4.62 Mb/s,4.56 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:56:30,5.21 Mb/s,4.46 Mb/s,4.51 Mb/s,4.56 Mb/s,4.45 Mb/s,5.13 Mb/s,4.14 Mb/s,4.49 Mb/s,4.45 Mb/s,5.00 Mb/s,4.83 Mb/s,4.56 Mb/s,4.20 Mb/s,4.79 Mb/s,4.48 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:56:45,5.05 Mb/s,4.76 Mb/s,4.22 Mb/s,4.62 Mb/s,4.34 Mb/s,5.12 Mb/s,4.17 Mb/s,4.51 Mb/s,4.47 Mb/s,4.87 Mb/s,4.73 Mb/s,4.61 Mb/s,4.07 Mb/s,4.80 Mb/s,4.55 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:57:00,5.21 Mb/s,4.77 Mb/s,4.35 Mb/s,4.63 Mb/s,4.47 Mb/s,5.17 Mb/s,4.17 Mb/s,4.36 Mb/s,4.47 Mb/s,4.99 Mb/s,4.90 Mb/s,4.74 Mb/s,4.18 Mb/s,4.98 Mb/s,4.53 Mb/s,,,,,,,,,,,,,,,
2025-11-16 13:57:15,5.21 Mb/s,4.79 Mb/s,4.39 Mb/s,4.52 Mb/s,4.52 Mb/s,4.85 Mb/s,4.27 Mb/s,4.24 Mb/s,4.37 Mb/s,4.90 Mb/s,4.96 Mb/s,4.78 Mb/s,4.40 Mb/s,4.95 Mb/s,4.53 Mb/s,,,,,,,,,,,,,,,
