"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}"
2025-11-16 14:47:45,1.07 Mb/s,926 kb/s,909 kb/s,982 kb/s,753 kb/s,764 kb/s,879 kb/s,902 kb/s,1.01 Mb/s,992 kb/s,902 kb/s,907 kb/s,789 kb/s,842 kb/s,800 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:48:00,1.11 Mb/s,947 kb/s,928 kb/s,998 kb/s,762 kb/s,788 kb/s,905 kb/s,923 kb/s,1.02 Mb/s,1.00 Mb/s,932 kb/s,896 kb/s,815 kb/s,854 kb/s,810 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:48:15,1.10 Mb/s,949 kb/s,931 kb/s,1.02 Mb/s,773 kb/s,795 kb/s,905 kb/s,913 kb/s,1.01 Mb/s,1.04 Mb/s,930 kb/s,915 kb/s,816 kb/s,845 kb/s,812 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:48:30,1.12 Mb/s,947 kb/s,922 kb/s,1.00 Mb/s,782 kb/s,795 kb/s,919 kb/s,931 kb/s,1.02 Mb/s,1.03 Mb/s,943 kb/s,909 kb/s,829 kb/s,867 kb/s,810 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:48:45,1.09 Mb/s,964 kb/s,934 kb/s,1.03 Mb/s,801 kb/s,798 kb/s,903 kb/s,920 kb/s,1.02 Mb/s,1.05 Mb/s,928 kb/s,917 kb/s,819 kb/s,864 kb/s,824 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:49:00,1.13 Mb/s,968 kb/s,946 kb/s,1.02 Mb/s,807 kb/s,812 kb/s,924 kb/s,935 kb/s,1.00 Mb/s,1.04 Mb/s,946 kb/s,891 kb/s,842 kb/s,863 kb/s,828 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:49:15,1.12 Mb/s,961 kb/s,939 kb/s,1.03 Mb/s,817 kb/s,810 kb/s,1.01 Mb/s,920 kb/s,1.00 Mb/s,1.07 Mb/s,935 kb/s,913 kb/s,843 kb/s,858 kb/s,823 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:49:30,1.17 Mb/s,953 kb/s,926 kb/s,1.02 Mb/s,821 kb/s,809 kb/s,1.03 Mb/s,947 kb/s,1.03 Mb/s,1.07 Mb/s,948 kb/s,905 kb/s,858 kb/s,884 kb/s,815 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:49:45,1.18 Mb/s,981 kb/s,969 kb/s,1.10 Mb/s,849 kb/s,823 kb/s,1.04 Mb/s,979 kb/s,1.05 Mb/s,1.12 Mb/s,936 kb/s,939 kb/s,857 kb/s,902 kb/s,847 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:50:00,1.22 Mb/s,1.03 Mb/s,1.01 Mb/s,1.13 Mb/s,861 kb/s,851 kb/s,1.07 Mb/s,1.01 Mb/s,1.06 Mb/s,1.11 Mb/s,997 kb/s,961 kb/s,889 kb/s,910 kb/s,880 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:50:15,1.26 Mb/s,1.06 Mb/s,1.01 Mb/s,1.15 Mb/s,902 kb/s,880 kb/s,1.08 Mb/s,1.06 Mb/s,1.09 Mb/s,1.16 Mb/s,997 kb/s,1.01 Mb/s,903 kb/s,946 kb/s,896 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:50:30,1.33 Mb/s,1.10 Mb/s,1.03 Mb/s,1.18 Mb/s,912 kb/s,894 kb/s,1.12 Mb/s,1.14 Mb/s,1.12 Mb/s,1.16 Mb/s,1.02 Mb/s,1.02 Mb/s,936 kb/s,978 kb/s,903 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:50:45,1.33 Mb/s,1.12 Mb/s,1.08 Mb/s,1.24 Mb/s,937 kb/s,905 kb/s,1.11 Mb/s,1.16 Mb/s,1.15 Mb/s,1.20 Mb/s,1.03 Mb/s,1.05 Mb/s,929 kb/s,993 kb/s,943 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:51:00,1.37 Mb/s,1.16 Mb/s,1.13 Mb/s,1.28 Mb/s,941 kb/s,930 kb/s,1.14 Mb/s,1.20 Mb/s,1.18 Mb/s,1.19 Mb/s,1.09 Mb/s,1.08 Mb/s,968 kb/s,1000 kb/s,956 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:51:15,1.37 Mb/s,1.19 Mb/s,1.14 Mb/s,1.33 Mb/s,980 kb/s,938 kb/s,1.15 Mb/s,1.20 Mb/s,1.24 Mb/s,1.23 Mb/s,1.10 Mb/s,1.11 Mb/s,977 kb/s,1.02 Mb/s,974 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:51:30,1.42 Mb/s,1.26 Mb/s,1.15 Mb/s,1.39 Mb/s,992 kb/s,967 kb/s,1.19 Mb/s,1.27 Mb/s,1.29 Mb/s,1.24 Mb/s,1.13 Mb/s,1.11 Mb/s,1.01 Mb/s,1.05 Mb/s,1.01 Mb/s,,,,,,,,,,,,,,,
2025-11-16 14:51:45,1.41 Mb/s,1.30 Mb/s,1.17 Mb/s,1.46 Mb/s,1.03 Mb/s,976 kb/s,1.19 Mb/s,1.29 Mb/s,1.34 Mb/s,1.27 Mb/s,1.13 Mb/s,1.18 Mb/s,999 kb/s,1.07 Mb/s,1.03 Mb/s,,,,,,,,,,,,,,,
2025-11-16 14:52:00,1.47 Mb/s,1.33 Mb/s,1.18 Mb/s,1.48 Mb/s,1.05 Mb/s,991 kb/s,1.23 Mb/s,1.38 Mb/s,1.35 Mb/s,1.27 Mb/s,1.16 Mb/s,1.17 Mb/s,1.02 Mb/s,1.08 Mb/s,1.05 Mb/s,,,,,,,,,,,,,,,
2025-11-16 14:52:15,1.47 Mb/s,1.37 Mb/s,1.21 Mb/s,1.53 Mb/s,1.08 Mb/s,1.00 Mb/s,1.26 Mb/s,1.42 Mb/s,1.43 Mb/s,1.30 Mb/s,1.18 Mb/s,1.20 Mb/s,1.04 Mb/s,1.11 Mb/s,1.05 Mb/s,,,,,,,,,,,,,,,
2025-11-16 14:52:30,1.54 Mb/s,1.40 Mb/s,1.22 Mb/s,1.57 Mb/s,1.08 Mb/s,1.02 Mb/s,1.31 Mb/s,1.49 Mb/s,1.47 Mb/s,1.30 Mb/s,1.21 Mb/s,1.21 Mb/s,1.07 Mb/s,1.13 Mb/s,1.06 Mb/s,,,,,,,,,,,,,,,
2025-11-16 14:52:45,1.53 Mb/s,1.42 Mb/s,1.24 Mb/s,1.62 Mb/s,1.11 Mb/s,1.03 Mb/s,1.30 Mb/s,1.56 Mb/s,1.49 Mb/s,1.33 Mb/s,1.20 Mb/s,1.25 Mb/s,1.07 Mb/s,1.15 Mb/s,1.09 Mb/s,,,,,,,,,,,,,,,
2025-11-16 14:53:00,1.60 Mb/s,1.47 Mb/s,1.25 Mb/s,1.62 Mb/s,1.12 Mb/s,1.06 Mb/s,1.34 Mb/s,1.62 Mb/s,1.50 Mb/s,1.32 Mb/s,1.24 Mb/s,1.27 Mb/s,1.14 Mb/s,1.15 Mb/s,1.10 Mb/s,,,,,,,,,,,,,,,
2025-11-16 14:53:15,1.60 Mb/s,1.49 Mb/s,1.26 Mb/s,1.66 Mb/s,1.15 Mb/s,1.09 Mb/s,1.35 Mb/s,1.64 Mb/s,1.54 Mb/s,1.35 Mb/s,1.24 Mb/s,1.31 Mb/s,1.15 Mb/s,1.16 Mb/s,1.11 Mb/s,,,,,,,,,,,,,,,
2025-11-16 14:53:30,1.65 Mb/s,1.55 Mb/s,1.29 Mb/s,1.70 Mb/s,1.16 Mb/s,1.12 Mb/s,1.40 Mb/s,1.71 Mb/s,1.59 Mb/s,1.35 Mb/s,1.30 Mb/s,1.31 Mb/s,1.17 Mb/s,1.20 Mb/s,1.14 Mb/s,,,,,,,,,,,,,,,
2025-11-16 14:53:45,1.64 Mb/s,1.57 Mb/s,1.30 Mb/s,1.74 Mb/s,1.20 Mb/s,1.13 Mb/s,1.41 Mb/s,1.73 Mb/s,1.61 Mb/s,1.39 Mb/s,1.30 Mb/s,1.34 Mb/s,1.16 Mb/s,1.22 Mb/s,1.16 Mb/s,,,,,,,,,,,,,,,
2025-11-16 14:54:00,1.68 Mb/s,1.60 Mb/s,1.32 Mb/s,1.77 Mb/s,1.20 Mb/s,1.17 Mb/s,1.37 Mb/s,1.80 Mb/s,1.63 Mb/s,1.37 Mb/s,1.32 Mb/s,1.34 Mb/s,1.19 Mb/s,1.22 Mb/s,1.21 Mb/s,,,,,,,,,,,,,,,
2025-11-16 14:54:15,1.66 Mb/s,1.61 Mb/s,1.34 Mb/s,1.80 Mb/s,1.25 Mb/s,1.17 Mb/s,1.36 Mb/s,1.84 Mb/s,1.66 Mb/s,1.41 Mb/s,1.32 Mb/s,1.37 Mb/s,1.18 Mb/s,1.25 Mb/s,1.21 Mb/s,,,,,,,,,,,,,,,
2025-11-16 14:54:30,1.65 Mb/s,1.65 Mb/s,1.35 Mb/s,1.80 Mb/s,1.24 Mb/s,1.17 Mb/s,1.35 Mb/s,1.84 Mb/s,1.68 Mb/s,1.38 Mb/s,1.36 Mb/s,1.35 Mb/s,1.20 Mb/s,1.26 Mb/s,1.21 Mb/s,,,,,,,,,,,,,,,
2025-11-16 14:54:45,1.66 Mb/s,1.64 Mb/s,1.36 Mb/s,1.79 Mb/s,1.26 Mb/s,1.16 Mb/s,1.36 Mb/s,1.83 Mb/s,1.72 Mb/s,1.43 Mb/s,1.33 Mb/s,1.35 Mb/s,1.18 Mb/s,1.26 Mb/s,1.22 Mb/s,,,,,,,,,,,,,,,
2025-11-16 14:55:00,1.68 Mb/s,1.67 Mb/s,1.38 Mb/s,1.81 Mb/s,1.23 Mb/s,1.14 Mb/s,1.39 Mb/s,1.88 Mb/s,1.70 Mb/s,1.38 Mb/s,1.34 Mb/s,1.35 Mb/s,1.20 Mb/s,1.24 Mb/s,1.22 Mb/s,,,,,,,,,,,,,,,
2025-11-16 14:55:15,1.65 Mb/s,1.65 Mb/s,1.37 Mb/s,1.78 Mb/s,1.25 Mb/s,1.15 Mb/s,1.37 Mb/s,1.84 Mb/s,1.73 Mb/s,1.44 Mb/s,1.36 Mb/s,1.38 Mb/s,1.18 Mb/s,1.23 Mb/s,1.20 Mb/s,,,,,,,,,,,,,,,
2025-11-16 14:55:30,1.68 Mb/s,1.66 Mb/s,1.34 Mb/s,1.80 Mb/s,1.26 Mb/s,1.18 Mb/s,1.40 Mb/s,1.84 Mb/s,1.75 Mb/s,1.42 Mb/s,1.35 Mb/s,1.36 Mb/s,1.21 Mb/s,1.24 Mb/s,1.20 Mb/s,,,,,,,,,,,,,,,
2025-11-16 14:55:45,1.67 Mb/s,1.66 Mb/s,1.33 Mb/s,1.79 Mb/s,1.32 Mb/s,1.19 Mb/s,1.48 Mb/s,1.84 Mb/s,1.72 Mb/s,1.47 Mb/s,1.31 Mb/s,1.36 Mb/s,1.17 Mb/s,1.25 Mb/s,1.21 Mb/s,,,,,,,,,,,,,,,
2025-11-16 14:56:00,1.68 Mb/s,1.66 Mb/s,1.37 Mb/s,1.78 Mb/s,1.30 Mb/s,1.20 Mb/s,1.54 Mb/s,1.90 Mb/s,1.66 Mb/s,1.43 Mb/s,1.34 Mb/s,1.34 Mb/s,1.19 Mb/s,1.23 Mb/s,1.21 Mb/s,,,,,,,,,,,,,,,
