"Time","{client_name=""geth"", client_type=""execution"", instance=""el-01-geth-lighthouse:9001"", job=""el-01-geth-lighthouse"", service=""el-01-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-02-geth-lighthouse:9001"", job=""el-02-geth-lighthouse"", service=""el-02-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-03-geth-lighthouse:9001"", job=""el-03-geth-lighthouse"", service=""el-03-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-04-geth-lighthouse:9001"", job=""el-04-geth-lighthouse"", service=""el-04-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-05-geth-lighthouse:9001"", job=""el-05-geth-lighthouse"", service=""el-05-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-06-geth-lighthouse:9001"", job=""el-06-geth-lighthouse"", service=""el-06-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-07-geth-lighthouse:9001"", job=""el-07-geth-lighthouse"", service=""el-07-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-08-geth-lighthouse:9001"", job=""el-08-geth-lighthouse"", service=""el-08-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-09-geth-lighthouse:9001"", job=""el-09-geth-lighthouse"", service=""el-09-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-10-geth-lighthouse:9001"", job=""el-10-geth-lighthouse"", service=""el-10-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-11-geth-lighthouse:9001"", job=""el-11-geth-lighthouse"", service=""el-11-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-12-geth-lighthouse:9001"", job=""el-12-geth-lighthouse"", service=""el-12-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-13-geth-lighthouse:9001"", job=""el-13-geth-lighthouse"", service=""el-13-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-14-geth-lighthouse:9001"", job=""el-14-geth-lighthouse"", service=""el-14-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-15-geth-lighthouse:9001"", job=""el-15-geth-lighthouse"", service=""el-15-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-11-geth-lighthouse:9001"", job=""el-11-geth-lighthouse"", service=""el-11-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-08-geth-lighthouse:9001"", job=""el-08-geth-lighthouse"", service=""el-08-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-03-geth-lighthouse:9001"", job=""el-03-geth-lighthouse"", service=""el-03-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-06-geth-lighthouse:9001"", job=""el-06-geth-lighthouse"", service=""el-06-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-01-geth-lighthouse:9001"", job=""el-01-geth-lighthouse"", service=""el-01-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-07-geth-lighthouse:9001"", job=""el-07-geth-lighthouse"", service=""el-07-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-15-geth-lighthouse:9001"", job=""el-15-geth-lighthouse"", service=""el-15-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-12-geth-lighthouse:9001"", job=""el-12-geth-lighthouse"", service=""el-12-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-14-geth-lighthouse:9001"", job=""el-14-geth-lighthouse"", service=""el-14-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-05-geth-lighthouse:9001"", job=""el-05-geth-lighthouse"", service=""el-05-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-09-geth-lighthouse:9001"", job=""el-09-geth-lighthouse"", service=""el-09-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-04-geth-lighthouse:9001"", job=""el-04-geth-lighthouse"", service=""el-04-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-13-geth-lighthouse:9001"", job=""el-13-geth-lighthouse"", service=""el-13-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-10-geth-lighthouse:9001"", job=""el-10-geth-lighthouse"", service=""el-10-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-02-geth-lighthouse:9001"", job=""el-02-geth-lighthouse"", service=""el-02-geth-lighthouse""}"
2025-11-16 12:07:00,2.14 vCPU,1.89 vCPU,2.13 vCPU,2.14 vCPU,2.06 vCPU,2.14 vCPU,2.06 vCPU,2.05 vCPU,2.09 vCPU,2.00 vCPU,2.05 vCPU,2.05 vCPU,2.14 vCPU,2.01 vCPU,2.05 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:07:15,2.12 vCPU,2.19 vCPU,2.11 vCPU,1.94 vCPU,1.95 vCPU,2.18 vCPU,2.10 vCPU,2.19 vCPU,1.95 vCPU,2.09 vCPU,2.20 vCPU,2.08 vCPU,1.94 vCPU,2.09 vCPU,2.07 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:07:30,2.20 vCPU,2.17 vCPU,2.16 vCPU,2.17 vCPU,2.17 vCPU,2.11 vCPU,2.03 vCPU,2.09 vCPU,2.17 vCPU,2.17 vCPU,2.09 vCPU,2.06 vCPU,2.17 vCPU,2.17 vCPU,2.07 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:07:45,1.92 vCPU,2.11 vCPU,1.95 vCPU,2.10 vCPU,2.18 vCPU,1.93 vCPU,2.17 vCPU,2.03 vCPU,2.15 vCPU,2.09 vCPU,2.02 vCPU,2.17 vCPU,2.10 vCPU,2.09 vCPU,2.17 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:08:00,2.12 vCPU,1.88 vCPU,2.12 vCPU,2.13 vCPU,2.04 vCPU,2.14 vCPU,2.04 vCPU,2.04 vCPU,2.09 vCPU,1.99 vCPU,2.04 vCPU,2.03 vCPU,2.13 vCPU,1.85 vCPU,2.03 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:08:15,2.05 vCPU,2.13 vCPU,2.06 vCPU,1.88 vCPU,1.89 vCPU,2.13 vCPU,2.04 vCPU,2.13 vCPU,1.89 vCPU,2.04 vCPU,2.14 vCPU,2.01 vCPU,1.88 vCPU,1.85 vCPU,2.01 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:08:30,2.14 vCPU,2.14 vCPU,2.13 vCPU,2.14 vCPU,2.14 vCPU,2.05 vCPU,1.99 vCPU,2.06 vCPU,2.14 vCPU,2.14 vCPU,2.06 vCPU,2.02 vCPU,2.14 vCPU,1.97 vCPU,2.03 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:08:45,1.89 vCPU,2.06 vCPU,1.90 vCPU,2.06 vCPU,2.14 vCPU,1.89 vCPU,2.13 vCPU,1.98 vCPU,2.09 vCPU,2.04 vCPU,1.96 vCPU,2.13 vCPU,2.06 vCPU,2.13 vCPU,2.13 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:09:00,2.11 vCPU,1.86 vCPU,2.10 vCPU,2.13 vCPU,2.03 vCPU,2.12 vCPU,2.03 vCPU,2.03 vCPU,2.09 vCPU,1.98 vCPU,2.03 vCPU,2.03 vCPU,2.13 vCPU,2.03 vCPU,2.03 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:09:15,2.03 vCPU,2.09 vCPU,2.00 vCPU,1.84 vCPU,1.85 vCPU,2.11 vCPU,2.00 vCPU,2.09 vCPU,1.85 vCPU,2.00 vCPU,2.10 vCPU,1.98 vCPU,1.84 vCPU,1.97 vCPU,1.97 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:09:30,2.09 vCPU,2.08 vCPU,2.06 vCPU,2.08 vCPU,2.08 vCPU,2.00 vCPU,1.93 vCPU,2.00 vCPU,2.08 vCPU,2.08 vCPU,2.00 vCPU,1.97 vCPU,2.08 vCPU,1.98 vCPU,1.98 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:09:45,1.82 vCPU,2.02 vCPU,1.86 vCPU,2.00 vCPU,2.10 vCPU,1.83 vCPU,2.08 vCPU,1.93 vCPU,2.04 vCPU,1.99 vCPU,1.92 vCPU,2.08 vCPU,2.00 vCPU,2.08 vCPU,2.08 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:10:00,2.09 vCPU,1.85 vCPU,2.11 vCPU,2.11 vCPU,2.01 vCPU,2.09 vCPU,2.01 vCPU,2.02 vCPU,2.07 vCPU,1.96 vCPU,2.02 vCPU,2.00 vCPU,2.12 vCPU,1.99 vCPU,1.99 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:10:15,2.05 vCPU,2.29 vCPU,2.36 vCPU,1.95 vCPU,1.91 vCPU,2.12 vCPU,2.03 vCPU,2.36 vCPU,1.92 vCPU,2.14 vCPU,2.37 vCPU,2.00 vCPU,1.94 vCPU,2.00 vCPU,2.00 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:10:30,2.63 vCPU,3.13 vCPU,3.28 vCPU,3.00 vCPU,2.92 vCPU,2.42 vCPU,2.66 vCPU,3.10 vCPU,2.94 vCPU,3.08 vCPU,3.10 vCPU,2.72 vCPU,2.99 vCPU,2.73 vCPU,2.72 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:10:45,3.17 vCPU,3.84 vCPU,3.92 vCPU,3.74 vCPU,3.80 vCPU,3.12 vCPU,3.71 vCPU,3.90 vCPU,3.75 vCPU,3.76 vCPU,3.89 vCPU,3.73 vCPU,3.73 vCPU,3.73 vCPU,3.73 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:11:00,4.33 vCPU,4.27 vCPU,4.64 vCPU,4.54 vCPU,4.38 vCPU,4.27 vCPU,4.42 vCPU,4.46 vCPU,4.44 vCPU,4.37 vCPU,4.46 vCPU,4.41 vCPU,4.55 vCPU,4.41 vCPU,4.41 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:11:15,4.54 vCPU,4.57 vCPU,4.56 vCPU,4.30 vCPU,4.34 vCPU,4.71 vCPU,4.57 vCPU,4.68 vCPU,4.33 vCPU,4.43 vCPU,4.68 vCPU,4.53 vCPU,4.30 vCPU,4.52 vCPU,4.52 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:11:30,4.65 vCPU,4.59 vCPU,4.58 vCPU,4.54 vCPU,4.50 vCPU,4.50 vCPU,4.33 vCPU,4.43 vCPU,4.50 vCPU,4.58 vCPU,4.43 vCPU,4.37 vCPU,4.53 vCPU,4.37 vCPU,4.37 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:11:45,4.22 vCPU,4.50 vCPU,4.25 vCPU,4.51 vCPU,4.66 vCPU,4.28 vCPU,4.60 vCPU,4.42 vCPU,4.61 vCPU,4.52 vCPU,4.41 vCPU,4.61 vCPU,4.51 vCPU,4.61 vCPU,4.61 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:12:00,4.51 vCPU,4.24 vCPU,4.54 vCPU,4.58 vCPU,4.41 vCPU,4.47 vCPU,4.41 vCPU,4.35 vCPU,4.47 vCPU,4.44 vCPU,4.36 vCPU,4.41 vCPU,4.59 vCPU,4.41 vCPU,4.41 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:12:15,4.45 vCPU,4.44 vCPU,4.36 vCPU,4.19 vCPU,4.23 vCPU,4.61 vCPU,4.47 vCPU,4.52 vCPU,4.21 vCPU,4.31 vCPU,4.53 vCPU,4.42 vCPU,4.18 vCPU,4.41 vCPU,4.41 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:12:30,4.56 vCPU,4.64 vCPU,4.73 vCPU,4.55 vCPU,4.51 vCPU,4.36 vCPU,4.31 vCPU,4.55 vCPU,4.51 vCPU,4.59 vCPU,4.55 vCPU,4.34 vCPU,4.54 vCPU,4.35 vCPU,4.35 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:12:45,4.46 vCPU,4.86 vCPU,4.78 vCPU,4.76 vCPU,4.88 vCPU,4.48 vCPU,4.82 vCPU,4.88 vCPU,4.83 vCPU,4.76 vCPU,4.86 vCPU,4.83 vCPU,4.75 vCPU,4.83 vCPU,4.83 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:13:00,5.10 vCPU,5.05 vCPU,5.36 vCPU,5.33 vCPU,5.15 vCPU,5.06 vCPU,5.13 vCPU,5.20 vCPU,5.22 vCPU,5.19 vCPU,5.21 vCPU,5.14 vCPU,5.35 vCPU,5.14 vCPU,5.14 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:13:15,5.30 vCPU,5.51 vCPU,5.46 vCPU,5.25 vCPU,5.24 vCPU,5.44 vCPU,5.43 vCPU,5.57 vCPU,5.24 vCPU,5.39 vCPU,5.57 vCPU,5.39 vCPU,5.23 vCPU,5.39 vCPU,5.39 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:13:30,5.58 vCPU,5.47 vCPU,5.50 vCPU,5.49 vCPU,5.49 vCPU,5.43 vCPU,5.33 vCPU,5.35 vCPU,5.49 vCPU,5.49 vCPU,5.35 vCPU,5.37 vCPU,5.49 vCPU,5.38 vCPU,5.37 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:13:45,5.19 vCPU,5.42 vCPU,5.24 vCPU,5.40 vCPU,5.54 vCPU,5.20 vCPU,5.48 vCPU,5.33 vCPU,5.49 vCPU,5.41 vCPU,5.32 vCPU,5.49 vCPU,5.40 vCPU,5.49 vCPU,5.49 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:14:00,5.47 vCPU,5.20 vCPU,5.47 vCPU,5.52 vCPU,5.34 vCPU,5.47 vCPU,5.32 vCPU,5.36 vCPU,5.40 vCPU,5.35 vCPU,5.37 vCPU,5.33 vCPU,5.53 vCPU,5.33 vCPU,5.33 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:14:15,5.39 vCPU,5.49 vCPU,5.32 vCPU,5.24 vCPU,5.23 vCPU,5.53 vCPU,5.45 vCPU,5.49 vCPU,5.22 vCPU,5.39 vCPU,5.49 vCPU,5.40 vCPU,5.21 vCPU,5.39 vCPU,5.39 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:14:30,5.54 vCPU,5.49 vCPU,5.52 vCPU,5.47 vCPU,5.47 vCPU,5.35 vCPU,5.31 vCPU,5.41 vCPU,5.47 vCPU,5.47 vCPU,5.42 vCPU,5.35 vCPU,5.47 vCPU,5.36 vCPU,5.35 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:14:45,5.18 vCPU,5.38 vCPU,5.22 vCPU,5.30 vCPU,5.48 vCPU,5.19 vCPU,5.47 vCPU,5.33 vCPU,5.42 vCPU,5.31 vCPU,5.32 vCPU,5.47 vCPU,5.30 vCPU,5.47 vCPU,5.47 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:15:00,5.45 vCPU,5.16 vCPU,5.42 vCPU,5.51 vCPU,5.37 vCPU,5.44 vCPU,5.35 vCPU,5.31 vCPU,5.42 vCPU,5.33 vCPU,5.32 vCPU,5.36 vCPU,5.54 vCPU,5.36 vCPU,5.36 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:15:15,5.24 vCPU,5.43 vCPU,5.30 vCPU,5.18 vCPU,5.16 vCPU,5.42 vCPU,5.35 vCPU,5.44 vCPU,5.16 vCPU,5.33 vCPU,5.44 vCPU,5.31 vCPU,5.15 vCPU,5.30 vCPU,5.30 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:15:30,5.47 vCPU,5.40 vCPU,5.45 vCPU,5.44 vCPU,5.44 vCPU,5.31 vCPU,5.28 vCPU,5.28 vCPU,5.44 vCPU,5.44 vCPU,5.28 vCPU,5.32 vCPU,5.44 vCPU,5.32 vCPU,5.32 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:15:45,5.19 vCPU,5.44 vCPU,5.28 vCPU,5.35 vCPU,5.51 vCPU,5.20 vCPU,5.48 vCPU,5.36 vCPU,5.46 vCPU,5.38 vCPU,5.35 vCPU,5.47 vCPU,5.35 vCPU,5.47 vCPU,5.47 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:16:00,5.53 vCPU,5.22 vCPU,5.51 vCPU,5.52 vCPU,5.36 vCPU,5.53 vCPU,5.36 vCPU,5.39 vCPU,5.44 vCPU,5.35 vCPU,5.40 vCPU,5.36 vCPU,5.55 vCPU,5.36 vCPU,5.36 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:16:15,5.43 vCPU,5.48 vCPU,5.31 vCPU,5.23 vCPU,5.20 vCPU,5.59 vCPU,5.41 vCPU,5.48 vCPU,5.20 vCPU,5.37 vCPU,5.48 vCPU,5.36 vCPU,5.19 vCPU,5.35 vCPU,5.35 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:16:30,5.52 vCPU,5.49 vCPU,5.50 vCPU,5.46 vCPU,5.46 vCPU,5.32 vCPU,5.29 vCPU,5.39 vCPU,5.46 vCPU,5.47 vCPU,5.40 vCPU,5.33 vCPU,5.46 vCPU,5.34 vCPU,5.34 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:16:45,5.18 vCPU,5.46 vCPU,5.35 vCPU,5.36 vCPU,5.52 vCPU,5.19 vCPU,5.50 vCPU,5.41 vCPU,5.46 vCPU,5.39 vCPU,5.40 vCPU,5.50 vCPU,5.35 vCPU,5.50 vCPU,5.50 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:17:00,5.62 vCPU,5.33 vCPU,5.64 vCPU,5.67 vCPU,5.56 vCPU,5.61 vCPU,5.55 vCPU,5.50 vCPU,5.62 vCPU,5.49 vCPU,5.51 vCPU,5.56 vCPU,5.71 vCPU,5.56 vCPU,5.56 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:17:15,5.49 vCPU,5.61 vCPU,5.51 vCPU,5.38 vCPU,5.36 vCPU,5.68 vCPU,5.59 vCPU,5.63 vCPU,5.36 vCPU,5.52 vCPU,5.63 vCPU,5.54 vCPU,5.35 vCPU,5.53 vCPU,5.53 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:17:30,5.69 vCPU,5.48 vCPU,5.28 vCPU,5.60 vCPU,5.61 vCPU,5.54 vCPU,5.44 vCPU,5.28 vCPU,5.61 vCPU,5.59 vCPU,5.28 vCPU,5.49 vCPU,5.61 vCPU,5.50 vCPU,5.49 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:17:45,4.87 vCPU,4.93 vCPU,4.54 vCPU,4.86 vCPU,5.02 vCPU,4.92 vCPU,5.02 vCPU,4.69 vCPU,4.96 vCPU,4.87 vCPU,4.68 vCPU,5.01 vCPU,4.85 vCPU,5.01 vCPU,5.01 vCPU,,,,,,,,,,,,,,,
